estimator_idx,estimator_weight,estimator_error
105,0.01602671506454704,0.4600187541149678
106,0.014956260635503194,0.46267889206038576
107,0.015651987287796862,0.4609497219222264
108,0.014746255192351128,0.46320102130644103
109,0.015299855270473806,0.4618248016458242
110,0.024821217710373822,0.438263592066632
111,0.015756321711590006,0.4606904874691147
112,0.014180689540430972,0.4646075657292593
113,0.023742895448375042,0.44092004142293345
114,0.014683600859648989,0.463356812282101
115,0.013947552795991427,0.46518753485477116
116,0.014371474862878465,0.46413302443331084
117,0.023599037663869497,0.44127469469359354
118,0.01484084215977817,0.4629658429547185
119,0.013356757943800403,0.4666576601817317
120,0.02353996828958785,0.44142033607440945
121,0.013930269261725782,0.4652305344885618
122,0.013164244255170597,0.4671368348157934
123,0.013635942012856846,0.46596286885782207
124,0.022292692583784347,0.4444979328598972
125,0.014089690084000052,0.46483393176387067
126,0.012680721075599956,0.4683406097099718
127,0.02135625591662947,0.44681136326926735
128,0.013170251870949296,0.467121880687382
129,0.01247734480847841,0.46884704433648416
130,0.01290116966983959,0.46779173634772087
131,0.021247639277883694,0.4470798475520671
132,0.01335649066239705,0.46665832541390095
133,0.012020841596157274,0.46998403169454467
134,0.02122452989308953,0.447136974524283
135,0.012567866974944015,0.4686216238162884
136,0.011811548034005243,0.4705054125156928
137,0.01230862088949394,0.46926723864387204
138,0.020132676500668245,0.4498376281199149
139,0.01274388561272686,0.4681833346263828
140,0.011469497051454162,0.47135764951390224
141,0.019322269455133812,0.4518440584282991
142,0.01193504226244889,0.47019776250375656
143,0.011236108605911095,0.47193924456016384
144,0.01169543520680687,0.4707946943571027
145,0.019245574772468976,0.4520340235960092
146,0.012128638285347753,0.4697155198888726
147,0.020308683363370314,0.44940207832648493
148,0.01238728004068544,0.469071338449455
149,0.017832797584337565,0.45553577703627646
150,0.012640021526352789,0.46844195194901045
151,0.011376019373717426,0.4715905830517552
152,0.018068574182236275,0.45495105857368656
153,0.011753216354819608,0.47065073676461483
154,0.010577894719337686,0.47357989356515295
155,0.01814465636487387,0.4547624036094284
156,0.011044878413635849,0.47241583971201295
157,0.010073233832355172,0.47483818823879875
158,0.010803831986306982,0.4730166613501563
159,0.019255549154204882,0.45200931724397364
160,0.011131286127925667,0.47220048303679363
161,0.016765949842769166,0.45818303475372396
162,0.011433651112088475,0.4714469712039988
163,0.010290286000879563,0.474296961782334
164,0.016932195970671013,0.4577703552952975
165,0.010693765827275024,0.4732910334764333
166,0.009624389244547511,0.47595758254018267
167,0.016308595254702723,0.4593186388604913
168,0.010051035506234011,0.47489354382173743
169,0.018140953694942435,0.45477158452671074
170,0.010381716082111128,0.4740689959817356
171,0.009343544473899948,0.4766581179187745
172,0.016531086531169484,0.45876614307587693
173,0.009814934325169715,0.47548234317657606
174,0.014789552173936703,0.46309336688189867
175,0.00999777454014666,0.47502636228780326
176,0.015293648333180808,0.4618402285690679
177,0.010302762196885626,0.4742658538156266
178,0.016537285720927494,0.45875075054137604
179,0.010497693411196957,0.47377984123873823
180,0.009447924070077189,0.47639774400116613
181,0.015092566469629585,0.4623400433214452
182,0.009794495482908054,0.47553331767644424
183,0.00881504593461732,0.4779766443636796
184,0.01518203280431538,0.4621176538688043
185,0.009234719315313347,0.4769295947577016
186,0.008371305360690535,0.4790839499278201
187,0.0090402874864034,0.47741466108444097
188,0.016136461074236094,0.45974615536913427
189,0.01239192301983002,0.46905977543210786
190,0.010322649413402255,0.47421626773062187
191,0.013079936434127672,0.4673466996564962
192,0.010416302556244057,0.4739827631359737
193,0.0065599553520825395,0.4836059902286465
194,0.006803344185914254,0.4829981968362698
195,0.0065412261444205465,0.4836527630539946
196,0.006735893157234881,0.4831666313583433
197,0.00925370451081065,0.47688223302403077
198,0.013435568815504846,0.46646151431644634
199,0.009487323596779174,0.47629946558115077
